Registration_number,Current_Semester
ciit/fa16-bse-1961/isb,Semester 8
ciit/fa16-bse-1963/isb,Semester 9
ciit/fa16-bse-1980/isb,Semester 1
ciit/fa16-bse-2004/isb,Semester 10
ciit/fa16-bse-2023/isb,Semester 8
ciit/fa16-bse-2070/isb,Semester 8
ciit/fa16-bse-2092/isb,Semester 8
ciit/fa16-bse-2094/isb,Semester 8
ciit/fa16-bse-2114/isb,Semester 8
ciit/fa16-bse-2139/isb,Semester 9
ciit/fa16-bse-2190/isb,Semester 8
ciit/fa16-bse-2202/isb,Semester 8
ciit/fa16-bse-2215/isb,Semester 9
ciit/fa16-bse-2279/isb,Semester 1
ciit/fa16-bse-2287/isb,Semester 8
ciit/fa16-bse-2296/isb,Semester 8
ciit/fa16-bse-231/isb,Semester 8
ciit/fa16-bse-2314/isb,Semester 9
ciit/fa16-bse-2341/isb,Semester 8
ciit/fa16-bse-2364/isb,Semester 9
ciit/fa16-bse-2374/isb,Semester 8
ciit/fa16-bse-2396/isb,Semester 8
ciit/fa16-bse-244/isb,Semester 8
ciit/fa16-bse-2489/isb,Semester 8
ciit/fa16-bse-2502/isb,Semester 8
ciit/fa16-bse-2566/isb,Semester 9
ciit/fa16-bse-2567/isb,Semester 8
ciit/fa16-bse-2595/isb,Semester 8
ciit/fa16-bse-2599/isb,Semester 2
ciit/fa16-bse-2620/isb,Semester 8
ciit/fa16-bse-2691/isb,Semester 8
ciit/fa16-bse-2703/isb,Semester 8
ciit/fa16-bse-2712/isb,Semester 8
ciit/fa16-bse-2728/isb,Semester 2
ciit/fa16-bse-2733/isb,Semester 8
ciit/fa16-bse-2874/isb,Semester 8
ciit/fa16-bse-2876/isb,Semester 8
ciit/fa16-bse-2887/isb,Semester 10
ciit/fa16-bse-2921/isb,Semester 8
ciit/fa16-bse-2937/isb,Semester 10
ciit/fa16-bse-2955/isb,Semester 2
ciit/fa16-bse-297/isb,Semester 8
ciit/fa16-bse-2988/isb,Semester 8
ciit/fa16-bse-3000/isb,Semester 9
ciit/fa16-bse-3017/isb,Semester 8
ciit/fa16-bse-3025/isb,Semester 1
ciit/fa16-bse-3069/isb,Semester 8
ciit/fa16-bse-31/isb,Semester 8
ciit/fa16-bse-3100/isb,Semester 8
ciit/fa16-bse-3109/isb,Semester 2
ciit/fa16-bse-319/isb,Semester 8
ciit/fa16-bse-3199/isb,Semester 10
ciit/fa16-bse-3217/isb,Semester 9
ciit/fa16-bse-322/isb,Semester 9
ciit/fa16-bse-3226/isb,Semester 8
ciit/fa16-bse-323/isb,Semester 2
ciit/fa16-bse-3285/isb,Semester 10
ciit/fa16-bse-3349/isb,Semester 4
ciit/fa16-bse-3371/isb,Semester 8
ciit/fa16-bse-338/isb,Semester 10
ciit/fa16-bse-3388/isb,Semester 2
ciit/fa16-bse-3408/isb,Semester 1
ciit/fa16-bse-3418/isb,Semester 2
ciit/fa16-bse-3461/isb,Semester 2
ciit/fa16-bse-35/isb,Semester 8
ciit/fa16-bse-3517/isb,Semester 8
ciit/fa16-bse-353/isb,Semester 2
ciit/fa16-bse-3552/isb,Semester 8
ciit/fa16-bse-3553/isb,Semester 9
ciit/fa16-bse-356/isb,Semester 8
ciit/fa16-bse-3568/isb,Semester 1
ciit/fa16-bse-3613/isb,Semester 8
ciit/fa16-bse-3615/isb,Semester 8
ciit/fa16-bse-3623/isb,Semester 9
ciit/fa16-bse-3702/isb,Semester 10
ciit/fa16-bse-3716/isb,Semester 8
ciit/fa16-bse-416/isb,Semester 8
ciit/fa16-bse-45/isb,Semester 8
ciit/fa16-bse-491/isb,Semester 8
ciit/fa16-bse-494/isb,Semester 8
ciit/fa16-bse-517/isb,Semester 8
ciit/fa16-bse-535/isb,Semester 8
ciit/fa16-bse-561/isb,Semester 2
ciit/fa16-bse-594/isb,Semester 5
ciit/fa16-bse-608/isb,Semester 8
ciit/fa16-bse-610/isb,Semester 8
ciit/fa16-bse-628/isb,Semester 8
ciit/fa16-bse-642/isb,Semester 2
ciit/fa16-bse-68/isb,Semester 8
ciit/fa16-bse-687/isb,Semester 8
ciit/fa16-bse-704/isb,Semester 9
ciit/fa16-bse-717/isb,Semester 12
ciit/fa16-bse-721/isb,Semester 2
ciit/fa16-bse-722/isb,Semester 8
ciit/fa16-bse-723/isb,Semester 9
ciit/fa16-bse-734/isb,Semester 1
ciit/fa16-bse-740/isb,Semester 2
ciit/fa16-bse-758/isb,Semester 8
ciit/fa16-bse-789/isb,Semester 8
ciit/fa16-bse-814/isb,Semester 9
ciit/fa16-bse-824/isb,Semester 2
ciit/fa16-bse-838/isb,Semester 2
ciit/fa16-bse-864/isb,Semester 2
ciit/fa16-bse-866/isb,Semester 8
ciit/fa16-bse-882/isb,Semester 1
ciit/fa16-bse-886/isb,Semester 8
ciit/fa16-bse-896/isb,Semester 8
ciit/fa16-bse-931/isb,Semester 8
ciit/fa16-bse-98/isb,Semester 9
ciit/fa16-bse-989/isb,Semester 8
ciit/fa17-bcs-1033/isb,Semester 8
ciit/fa17-bcs-1037/isb,Semester 8
ciit/fa17-bcs-1038/isb,Semester 8
ciit/fa17-bcs-1054/isb,Semester 8
ciit/fa17-bcs-1067/isb,Semester 9
ciit/fa17-bcs-1074/isb,Semester 8
ciit/fa17-bcs-1080/isb,Semester 8
ciit/fa17-bcs-1098/isb,Semester 8
ciit/fa17-bcs-1124/isb,Semester 9
ciit/fa17-bcs-1135/isb,Semester 8
ciit/fa17-bcs-1149/isb,Semester 10
ciit/fa17-bcs-1154/isb,Semester 1
ciit/fa17-bcs-1162/isb,Semester 8
ciit/fa17-bcs-1198/isb,Semester 8
ciit/fa17-bcs-1240/isb,Semester 8
ciit/fa17-bcs-1249/isb,Semester 8
ciit/fa17-bcs-1265/isb,Semester 1
ciit/fa17-bcs-1279/isb,Semester 8
ciit/fa17-bcs-1312/isb,Semester 8
ciit/fa17-bcs-1320/isb,Semester 8
ciit/fa17-bcs-134/isb,Semester 8
ciit/fa17-bcs-1344/isb,Semester 8
ciit/fa17-bcs-1426/isb,Semester 8
ciit/fa17-bcs-1474/isb,Semester 8
ciit/fa17-bcs-1587/isb,Semester 8
ciit/fa17-bcs-1605/isb,Semester 1
ciit/fa17-bcs-1638/isb,Semester 1
ciit/fa17-bcs-1676/isb,Semester 8
ciit/fa17-bcs-1754/isb,Semester 8
ciit/fa17-bcs-1809/isb,Semester 8
ciit/fa17-bcs-1818/isb,Semester 8
ciit/fa17-bcs-1864/isb,Semester 8
ciit/fa17-bcs-187/isb,Semester 8
ciit/fa17-bcs-1875/isb,Semester 8
ciit/fa17-bcs-1894/isb,Semester 8
ciit/fa17-bcs-1948/isb,Semester 9
ciit/fa17-bcs-1960/isb,Semester 3
ciit/fa17-bcs-2109/isb,Semester 1
ciit/fa17-bcs-212/isb,Semester 8
ciit/fa17-bcs-2176/isb,Semester 1
ciit/fa17-bcs-2328/isb,Semester 8
ciit/fa17-bcs-2416/isb,Semester 8
ciit/fa17-bcs-2444/isb,Semester 8
ciit/fa17-bcs-2450/isb,Semester 8
ciit/fa17-bcs-2537/isb,Semester 8
ciit/fa17-bcs-255/isb,Semester 8
ciit/fa17-bcs-2596/isb,Semester 8
ciit/fa17-bcs-2650/isb,Semester 8
ciit/fa17-bcs-2673/isb,Semester 8
ciit/fa17-bcs-2676/isb,Semester 1
ciit/fa17-bcs-2682/isb,Semester 8
ciit/fa17-bcs-2686/isb,Semester 8
ciit/fa17-bcs-2695/isb,Semester 8
ciit/fa17-bcs-2702/isb,Semester 8
ciit/fa17-bcs-2711/isb,Semester 2
ciit/fa17-bcs-2719/isb,Semester 8
ciit/fa17-bcs-2746/isb,Semester 3
ciit/fa17-bcs-2764/isb,Semester 1
ciit/fa17-bcs-278/isb,Semester 8
ciit/fa17-bcs-2917/isb,Semester 10
ciit/fa17-bcs-2949/isb,Semester 1
ciit/fa17-bcs-2970/isb,Semester 8
ciit/fa17-bcs-3005/isb,Semester 8
ciit/fa17-bcs-3027/isb,Semester 9
ciit/fa17-bcs-3028/isb,Semester 8
ciit/fa17-bcs-3043/isb,Semester 8
ciit/fa17-bcs-3051/isb,Semester 2
ciit/fa17-bcs-3056/isb,Semester 8
ciit/fa17-bcs-3082/isb,Semester 8
ciit/fa17-bcs-3084/isb,Semester 8
ciit/fa17-bcs-3241/isb,Semester 1
ciit/fa17-bcs-3248/isb,Semester 8
ciit/fa17-bcs-3260/isb,Semester 8
ciit/fa17-bcs-33/isb,Semester 1
ciit/fa17-bcs-3312/isb,Semester 4
ciit/fa17-bcs-3384/isb,Semester 1
ciit/fa17-bcs-3442/isb,Semester 1
ciit/fa17-bcs-3455/isb,Semester 9
ciit/fa17-bcs-3463/isb,Semester 9
ciit/fa17-bcs-3473/isb,Semester 8
ciit/fa17-bcs-3535/isb,Semester 9
ciit/fa17-bcs-3537/isb,Semester 8
ciit/fa17-bcs-3577/isb,Semester 8
ciit/fa17-bcs-36/isb,Semester 10
ciit/fa17-bcs-3607/isb,Semester 8
ciit/fa17-bcs-3653/isb,Semester 8
ciit/fa17-bcs-3666/isb,Semester 8
ciit/fa17-bcs-3670/isb,Semester 1
ciit/fa17-bcs-43/isb,Semester 8
ciit/fa17-bcs-451/isb,Semester 2
ciit/fa17-bcs-47/isb,Semester 8
ciit/fa17-bcs-51/isb,Semester 8
ciit/fa17-bcs-513/isb,Semester 1
ciit/fa17-bcs-553/isb,Semester 8
ciit/fa17-bcs-644/isb,Semester 8
ciit/fa17-bcs-660/isb,Semester 2
ciit/fa17-bcs-696/isb,Semester 9
ciit/fa17-bcs-727/isb,Semester 1
ciit/fa17-bcs-750/isb,Semester 9
ciit/fa17-bcs-800/isb,Semester 2
ciit/fa17-bcs-851/isb,Semester 1
ciit/fa17-bcs-853/isb,Semester 8
ciit/fa17-bcs-927/isb,Semester 8
ciit/fa17-bcs-987/isb,Semester 1
ciit/fa17-bcs-990/isb,Semester 8
ciit/fa17-bse-10/isb,Semester 10
ciit/fa17-bse-1020/isb,Semester 8
ciit/fa17-bse-1031/isb,Semester 8
ciit/fa17-bse-1065/isb,Semester 8
ciit/fa17-bse-1085/isb,Semester 5
ciit/fa17-bse-1087/isb,Semester 8
ciit/fa17-bse-1108/isb,Semester 8
ciit/fa17-bse-1111/isb,Semester 8
ciit/fa17-bse-1119/isb,Semester 8
ciit/fa17-bse-1121/isb,Semester 1
ciit/fa17-bse-1169/isb,Semester 8
ciit/fa17-bse-1183/isb,Semester 1
ciit/fa17-bse-123/isb,Semester 8
ciit/fa17-bse-1293/isb,Semester 8
ciit/fa17-bse-1309/isb,Semester 8
ciit/fa17-bse-1346/isb,Semester 9
ciit/fa17-bse-1356/isb,Semester 1
ciit/fa17-bse-1358/isb,Semester 8
ciit/fa17-bse-1364/isb,Semester 8
ciit/fa17-bse-1384/isb,Semester 8
ciit/fa17-bse-1409/isb,Semester 1
ciit/fa17-bse-1481/isb,Semester 8
ciit/fa17-bse-1494/isb,Semester 8
ciit/fa17-bse-1500/isb,Semester 8
ciit/fa17-bse-1501/isb,Semester 1
ciit/fa17-bse-1517/isb,Semester 10
ciit/fa17-bse-1567/isb,Semester 1
ciit/fa17-bse-1570/isb,Semester 8
ciit/fa17-bse-160/isb,Semester 9
ciit/fa17-bse-1609/isb,Semester 8
ciit/fa17-bse-1632/isb,Semester 4
ciit/fa17-bse-1678/isb,Semester 9
ciit/fa17-bse-17/isb,Semester 8
ciit/fa17-bse-1711/isb,Semester 8
ciit/fa17-bse-1713/isb,Semester 8
ciit/fa17-bse-1721/isb,Semester 8
ciit/fa17-bse-1738/isb,Semester 8
ciit/fa17-bse-1752/isb,Semester 9
ciit/fa17-bse-1757/isb,Semester 9
ciit/fa17-bse-1763/isb,Semester 8
ciit/fa17-bse-1799/isb,Semester 9
ciit/fa17-bse-1834/isb,Semester 8
ciit/fa17-bse-1844/isb,Semester 1
ciit/fa17-bse-1863/isb,Semester 8
ciit/fa17-bse-1877/isb,Semester 8
ciit/fa17-bse-1885/isb,Semester 2
ciit/fa17-bse-1895/isb,Semester 8
ciit/fa17-bse-1922/isb,Semester 8
ciit/fa17-bse-1923/isb,Semester 8
ciit/fa17-bse-1929/isb,Semester 8
ciit/fa17-bse-193/isb,Semester 1
ciit/fa17-bse-1968/isb,Semester 9
ciit/fa17-bse-1998/isb,Semester 9
ciit/fa17-bse-2019/isb,Semester 8
ciit/fa17-bse-2035/isb,Semester 8
ciit/fa17-bse-2042/isb,Semester 8
ciit/fa17-bse-2056/isb,Semester 8
ciit/fa17-bse-2061/isb,Semester 8
ciit/fa17-bse-211/isb,Semester 8
ciit/fa17-bse-215/isb,Semester 8
ciit/fa17-bse-2156/isb,Semester 2
ciit/fa17-bse-2194/isb,Semester 8
ciit/fa17-bse-2208/isb,Semester 8
ciit/fa17-bse-2239/isb,Semester 9
ciit/fa17-bse-2336/isb,Semester 8
ciit/fa17-bse-2378/isb,Semester 9
ciit/fa17-bse-2389/isb,Semester 5
ciit/fa17-bse-2414/isb,Semester 8
ciit/fa17-bse-2433/isb,Semester 8
ciit/fa17-bse-2457/isb,Semester 8
ciit/fa17-bse-247/isb,Semester 1
ciit/fa17-bse-2478/isb,Semester 2
ciit/fa17-bse-2481/isb,Semester 6
ciit/fa17-bse-2504/isb,Semester 8
ciit/fa17-bse-2534/isb,Semester 8
ciit/fa17-bse-2543/isb,Semester 8
ciit/fa17-bse-2585/isb,Semester 8
ciit/fa17-bse-2593/isb,Semester 8
ciit/fa17-bse-2640/isb,Semester 8
ciit/fa17-bse-2658/isb,Semester 8
ciit/fa17-bse-2690/isb,Semester 8
ciit/fa17-bse-276/isb,Semester 4
ciit/fa17-bse-2769/isb,Semester 10
ciit/fa17-bse-2786/isb,Semester 8
ciit/fa17-bse-2812/isb,Semester 1
ciit/fa17-bse-2825/isb,Semester 8
ciit/fa17-bse-2860/isb,Semester 8
ciit/fa17-bse-287/isb,Semester 8
ciit/fa17-bse-2872/isb,Semester 1
ciit/fa17-bse-2873/isb,Semester 1
ciit/fa17-bse-2900/isb,Semester 9
ciit/fa17-bse-2948/isb,Semester 2
ciit/fa17-bse-2964/isb,Semester 8
ciit/fa17-bse-2974/isb,Semester 9
ciit/fa17-bse-3013/isb,Semester 8
ciit/fa17-bse-3067/isb,Semester 8
ciit/fa17-bse-3073/isb,Semester 2
ciit/fa17-bse-3080/isb,Semester 8
ciit/fa17-bse-3085/isb,Semester 8
ciit/fa17-bse-313/isb,Semester 8
ciit/fa17-bse-3151/isb,Semester 8
ciit/fa17-bse-3169/isb,Semester 8
ciit/fa17-bse-3175/isb,Semester 8
ciit/fa17-bse-3210/isb,Semester 8
ciit/fa17-bse-3233/isb,Semester 10
ciit/fa17-bse-3266/isb,Semester 8
ciit/fa17-bse-3289/isb,Semester 8
ciit/fa17-bse-3291/isb,Semester 8
ciit/fa17-bse-3313/isb,Semester 8
ciit/fa17-bse-3319/isb,Semester 10
ciit/fa17-bse-3335/isb,Semester 8
ciit/fa17-bse-3356/isb,Semester 1
ciit/fa17-bse-3420/isb,Semester 8
ciit/fa17-bse-3444/isb,Semester 8
ciit/fa17-bse-3446/isb,Semester 9
ciit/fa17-bse-3462/isb,Semester 1
ciit/fa17-bse-3482/isb,Semester 8
ciit/fa17-bse-3496/isb,Semester 8
ciit/fa17-bse-3525/isb,Semester 8
ciit/fa17-bse-3546/isb,Semester 8
ciit/fa17-bse-3558/isb,Semester 9
ciit/fa17-bse-3583/isb,Semester 1
ciit/fa17-bse-360/isb,Semester 8
ciit/fa17-bse-3616/isb,Semester 8
ciit/fa17-bse-3645/isb,Semester 10
ciit/fa17-bse-3662/isb,Semester 8
ciit/fa17-bse-3681/isb,Semester 8
ciit/fa17-bse-3688/isb,Semester 1
ciit/fa17-bse-3701/isb,Semester 9
ciit/fa17-bse-400/isb,Semester 8
ciit/fa17-bse-407/isb,Semester 8
ciit/fa17-bse-476/isb,Semester 8
ciit/fa17-bse-493/isb,Semester 3
ciit/fa17-bse-536/isb,Semester 8
ciit/fa17-bse-542/isb,Semester 8
ciit/fa17-bse-55/isb,Semester 1
ciit/fa17-bse-551/isb,Semester 1
ciit/fa17-bse-566/isb,Semester 1
ciit/fa17-bse-618/isb,Semester 1
ciit/fa17-bse-627/isb,Semester 8
ciit/fa17-bse-63/isb,Semester 8
ciit/fa17-bse-645/isb,Semester 8
ciit/fa17-bse-649/isb,Semester 8
ciit/fa17-bse-650/isb,Semester 8
ciit/fa17-bse-672/isb,Semester 9
ciit/fa17-bse-738/isb,Semester 2
ciit/fa17-bse-773/isb,Semester 8
ciit/fa17-bse-779/isb,Semester 2
ciit/fa17-bse-802/isb,Semester 3
ciit/fa17-bse-806/isb,Semester 8
ciit/fa17-bse-85/isb,Semester 9
ciit/fa17-bse-850/isb,Semester 8
ciit/fa17-bse-854/isb,Semester 1
ciit/fa17-bse-873/isb,Semester 8
ciit/fa17-bse-89/isb,Semester 8
ciit/fa17-bse-951/isb,Semester 8
ciit/fa17-bse-956/isb,Semester 8
ciit/fa17-bse-991/isb,Semester 8
ciit/fa18-bcs-101/isb,Semester 8
ciit/fa18-bcs-1025/isb,Semester 2
ciit/fa18-bcs-1056/isb,Semester 8
ciit/fa18-bcs-1094/isb,Semester 1
ciit/fa18-bcs-1184/isb,Semester 8
ciit/fa18-bcs-1188/isb,Semester 8
ciit/fa18-bcs-1217/isb,Semester 8
ciit/fa18-bcs-1228/isb,Semester 2
ciit/fa18-bcs-1246/isb,Semester 1
ciit/fa18-bcs-1253/isb,Semester 8
ciit/fa18-bcs-1290/isb,Semester 8
ciit/fa18-bcs-1308/isb,Semester 1
ciit/fa18-bcs-1322/isb,Semester 8
ciit/fa18-bcs-1351/isb,Semester 8
ciit/fa18-bcs-136/isb,Semester 1
ciit/fa18-bcs-1394/isb,Semester 8
ciit/fa18-bcs-1424/isb,Semester 3
ciit/fa18-bcs-1445/isb,Semester 1
ciit/fa18-bcs-1448/isb,Semester 8
ciit/fa18-bcs-1450/isb,Semester 8
ciit/fa18-bcs-1462/isb,Semester 1
ciit/fa18-bcs-153/isb,Semester 2
ciit/fa18-bcs-1679/isb,Semester 8
ciit/fa18-bcs-1688/isb,Semester 8
ciit/fa18-bcs-1701/isb,Semester 8
ciit/fa18-bcs-1719/isb,Semester 8
ciit/fa18-bcs-172/isb,Semester 8
ciit/fa18-bcs-1723/isb,Semester 2
ciit/fa18-bcs-1727/isb,Semester 1
ciit/fa18-bcs-1732/isb,Semester 1
ciit/fa18-bcs-1749/isb,Semester 8
ciit/fa18-bcs-1782/isb,Semester 8
ciit/fa18-bcs-1792/isb,Semester 8
ciit/fa18-bcs-1811/isb,Semester 8
ciit/fa18-bcs-1816/isb,Semester 8
ciit/fa18-bcs-1832/isb,Semester 8
ciit/fa18-bcs-1882/isb,Semester 1
ciit/fa18-bcs-1905/isb,Semester 8
ciit/fa18-bcs-1934/isb,Semester 8
ciit/fa18-bcs-1938/isb,Semester 1
ciit/fa18-bcs-1976/isb,Semester 8
ciit/fa18-bcs-1986/isb,Semester 8
ciit/fa18-bcs-207/isb,Semester 8
ciit/fa18-bcs-2073/isb,Semester 8
ciit/fa18-bcs-2079/isb,Semester 8
ciit/fa18-bcs-2107/isb,Semester 8
ciit/fa18-bcs-2153/isb,Semester 8
ciit/fa18-bcs-2159/isb,Semester 8
ciit/fa18-bcs-2165/isb,Semester 1
ciit/fa18-bcs-2183/isb,Semester 8
ciit/fa18-bcs-2195/isb,Semester 8
ciit/fa18-bcs-2197/isb,Semester 8
ciit/fa18-bcs-2222/isb,Semester 8
ciit/fa18-bcs-2232/isb,Semester 8
ciit/fa18-bcs-2243/isb,Semester 8
ciit/fa18-bcs-2277/isb,Semester 8
ciit/fa18-bcs-2304/isb,Semester 8
ciit/fa18-bcs-2311/isb,Semester 8
ciit/fa18-bcs-2352/isb,Semester 1
ciit/fa18-bcs-2376/isb,Semester 8
ciit/fa18-bcs-2411/isb,Semester 8
ciit/fa18-bcs-2421/isb,Semester 8
ciit/fa18-bcs-2427/isb,Semester 8
ciit/fa18-bcs-2440/isb,Semester 8
ciit/fa18-bcs-2449/isb,Semester 1
ciit/fa18-bcs-2452/isb,Semester 8
ciit/fa18-bcs-2459/isb,Semester 1
ciit/fa18-bcs-2496/isb,Semester 8
ciit/fa18-bcs-2499/isb,Semester 2
ciit/fa18-bcs-2536/isb,Semester 8
ciit/fa18-bcs-2583/isb,Semester 8
ciit/fa18-bcs-2601/isb,Semester 8
ciit/fa18-bcs-2624/isb,Semester 8
ciit/fa18-bcs-2643/isb,Semester 8
ciit/fa18-bcs-2649/isb,Semester 1
ciit/fa18-bcs-2699/isb,Semester 1
ciit/fa18-bcs-2732/isb,Semester 8
ciit/fa18-bcs-2753/isb,Semester 8
ciit/fa18-bcs-2762/isb,Semester 1
ciit/fa18-bcs-2770/isb,Semester 8
ciit/fa18-bcs-2776/isb,Semester 1
ciit/fa18-bcs-2875/isb,Semester 8
ciit/fa18-bcs-288/isb,Semester 8
ciit/fa18-bcs-2895/isb,Semester 3
ciit/fa18-bcs-292/isb,Semester 8
ciit/fa18-bcs-2959/isb,Semester 8
ciit/fa18-bcs-296/isb,Semester 8
ciit/fa18-bcs-2980/isb,Semester 8
ciit/fa18-bcs-3015/isb,Semester 2
ciit/fa18-bcs-3018/isb,Semester 1
ciit/fa18-bcs-3019/isb,Semester 8
ciit/fa18-bcs-3055/isb,Semester 1
ciit/fa18-bcs-3081/isb,Semester 8
ciit/fa18-bcs-3103/isb,Semester 8
ciit/fa18-bcs-3113/isb,Semester 8
ciit/fa18-bcs-3135/isb,Semester 8
ciit/fa18-bcs-315/isb,Semester 1
ciit/fa18-bcs-3170/isb,Semester 8
ciit/fa18-bcs-3202/isb,Semester 8
ciit/fa18-bcs-3246/isb,Semester 2
ciit/fa18-bcs-3296/isb,Semester 2
ciit/fa18-bcs-331/isb,Semester 2
ciit/fa18-bcs-336/isb,Semester 8
ciit/fa18-bcs-3405/isb,Semester 8
ciit/fa18-bcs-3429/isb,Semester 1
ciit/fa18-bcs-3450/isb,Semester 8
ciit/fa18-bcs-3471/isb,Semester 1
ciit/fa18-bcs-349/isb,Semester 8
ciit/fa18-bcs-3545/isb,Semester 8
ciit/fa18-bcs-355/isb,Semester 2
ciit/fa18-bcs-3601/isb,Semester 8
ciit/fa18-bcs-363/isb,Semester 8
ciit/fa18-bcs-3630/isb,Semester 8
ciit/fa18-bcs-3644/isb,Semester 8
ciit/fa18-bcs-3647/isb,Semester 8
ciit/fa18-bcs-3658/isb,Semester 8
ciit/fa18-bcs-3711/isb,Semester 1
ciit/fa18-bcs-457/isb,Semester 8
ciit/fa18-bcs-472/isb,Semester 8
ciit/fa18-bcs-473/isb,Semester 8
ciit/fa18-bcs-503/isb,Semester 8
ciit/fa18-bcs-516/isb,Semester 8
ciit/fa18-bcs-527/isb,Semester 1
ciit/fa18-bcs-572/isb,Semester 2
ciit/fa18-bcs-81/isb,Semester 1
ciit/fa18-bcs-834/isb,Semester 8
ciit/fa18-bcs-862/isb,Semester 8
ciit/fa18-bcs-974/isb,Semester 8
ciit/fa18-bcs-981/isb,Semester 8
ciit/fa18-bse-1077/isb,Semester 8
ciit/fa18-bse-1088/isb,Semester 1
ciit/fa18-bse-1209/isb,Semester 8
ciit/fa18-bse-1230/isb,Semester 8
ciit/fa18-bse-1260/isb,Semester 8
ciit/fa18-bse-1311/isb,Semester 2
ciit/fa18-bse-133/isb,Semester 8
ciit/fa18-bse-1352/isb,Semester 8
ciit/fa18-bse-1376/isb,Semester 8
ciit/fa18-bse-1378/isb,Semester 8
ciit/fa18-bse-1379/isb,Semester 8
ciit/fa18-bse-1405/isb,Semester 8
ciit/fa18-bse-1451/isb,Semester 1
ciit/fa18-bse-1467/isb,Semester 8
ciit/fa18-bse-1512/isb,Semester 8
ciit/fa18-bse-1556/isb,Semester 8
ciit/fa18-bse-1608/isb,Semester 8
ciit/fa18-bse-1613/isb,Semester 8
ciit/fa18-bse-1668/isb,Semester 1
ciit/fa18-bse-1694/isb,Semester 3
ciit/fa18-bse-1707/isb,Semester 8
ciit/fa18-bse-1712/isb,Semester 8
ciit/fa18-bse-1743/isb,Semester 1
ciit/fa18-bse-1759/isb,Semester 8
ciit/fa18-bse-1804/isb,Semester 8
ciit/fa18-bse-1828/isb,Semester 8
ciit/fa18-bse-1845/isb,Semester 1
ciit/fa18-bse-1853/isb,Semester 8
ciit/fa18-bse-1872/isb,Semester 8
ciit/fa18-bse-1915/isb,Semester 8
ciit/fa18-bse-1977/isb,Semester 8
ciit/fa18-bse-1978/isb,Semester 8
ciit/fa18-bse-2057/isb,Semester 8
ciit/fa18-bse-2064/isb,Semester 8
ciit/fa18-bse-2065/isb,Semester 8
ciit/fa18-bse-2102/isb,Semester 1
ciit/fa18-bse-2108/isb,Semester 8
ciit/fa18-bse-214/isb,Semester 8
ciit/fa18-bse-2184/isb,Semester 8
ciit/fa18-bse-2259/isb,Semester 1
ciit/fa18-bse-2282/isb,Semester 8
ciit/fa18-bse-2318/isb,Semester 1
ciit/fa18-bse-2331/isb,Semester 8
ciit/fa18-bse-2342/isb,Semester 2
ciit/fa18-bse-2343/isb,Semester 8
ciit/fa18-bse-2365/isb,Semester 8
ciit/fa18-bse-2415/isb,Semester 8
ciit/fa18-bse-2428/isb,Semester 8
ciit/fa18-bse-2438/isb,Semester 8
ciit/fa18-bse-245/isb,Semester 8
ciit/fa18-bse-2454/isb,Semester 5
ciit/fa18-bse-2455/isb,Semester 8
ciit/fa18-bse-2470/isb,Semester 1
ciit/fa18-bse-2477/isb,Semester 8
ciit/fa18-bse-2505/isb,Semester 8
ciit/fa18-bse-2522/isb,Semester 8
ciit/fa18-bse-2527/isb,Semester 8
ciit/fa18-bse-2569/isb,Semester 8
ciit/fa18-bse-2573/isb,Semester 1
ciit/fa18-bse-2575/isb,Semester 8
ciit/fa18-bse-2588/isb,Semester 3
ciit/fa18-bse-2619/isb,Semester 8
ciit/fa18-bse-264/isb,Semester 8
ciit/fa18-bse-2680/isb,Semester 8
ciit/fa18-bse-2714/isb,Semester 8
ciit/fa18-bse-2735/isb,Semester 8
ciit/fa18-bse-2740/isb,Semester 8
ciit/fa18-bse-2821/isb,Semester 8
ciit/fa18-bse-2838/isb,Semester 6
ciit/fa18-bse-2841/isb,Semester 8
ciit/fa18-bse-2905/isb,Semester 8
ciit/fa18-bse-2952/isb,Semester 8
ciit/fa18-bse-2989/isb,Semester 8
ciit/fa18-bse-2990/isb,Semester 8
ciit/fa18-bse-300/isb,Semester 8
ciit/fa18-bse-3064/isb,Semester 2
ciit/fa18-bse-3089/isb,Semester 8
ciit/fa18-bse-3117/isb,Semester 8
ciit/fa18-bse-3156/isb,Semester 8
ciit/fa18-bse-3159/isb,Semester 8
ciit/fa18-bse-3178/isb,Semester 8
ciit/fa18-bse-318/isb,Semester 8
ciit/fa18-bse-3181/isb,Semester 1
ciit/fa18-bse-3184/isb,Semester 1
ciit/fa18-bse-3257/isb,Semester 8
ciit/fa18-bse-3258/isb,Semester 8
ciit/fa18-bse-3303/isb,Semester 8
ciit/fa18-bse-3307/isb,Semester 1
ciit/fa18-bse-3332/isb,Semester 8
ciit/fa18-bse-3345/isb,Semester 8
ciit/fa18-bse-3369/isb,Semester 1
ciit/fa18-bse-3373/isb,Semester 8
ciit/fa18-bse-3397/isb,Semester 8
ciit/fa18-bse-3416/isb,Semester 8
ciit/fa18-bse-352/isb,Semester 8
ciit/fa18-bse-3547/isb,Semester 8
ciit/fa18-bse-3587/isb,Semester 8
ciit/fa18-bse-3595/isb,Semester 1
ciit/fa18-bse-3683/isb,Semester 8
ciit/fa18-bse-3687/isb,Semester 8
ciit/fa18-bse-3718/isb,Semester 3
ciit/fa18-bse-390/isb,Semester 8
